"Part";"Value";"Device";"Package";"Description";"BOM";"CASE";"MF";"MONTHLY_USAGE";"MPN";"OC_FARNELL";"OC_NEWARK";"PART_NUMBER";"PRICE";"SUPPLIER";"TYPE";"VALUE";
"AD";"20609";"HEADER-1X6OVALWAVE";"1X06_OVALWAVE";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";".1u";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"22pF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";".1u";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"22pF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";".1u";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";".1u";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";".1u";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C13";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";".1u";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C15";".1u";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C16";".1u";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"C17";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"MBR120";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";"";"";"";"";"";"";"";"";"";
"F2";"500mA";"PTCFUSE-1206";"R1206";"PTC fuses, resettable thermistors";"";"";"";"";"";"";"";"";"";"";"";"";
"FB2";"FERRITE";"FERRITE-0805NO";"0805-NO";"Ferrite Bead";"";"";"";"";"";"";"";"";"";"";"";"";
"FD1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";
"FD2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";
"FD3";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";
"GROUND1";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";
"IC3";"74LVC1G125D";"74AHC1G125DBV";"SOT23-5";"Single Bus Buffer Gate with 3-State Output";"";"";"";"";"";"";"";"";"";"";"";"";
"ICSP";"3x2 M";"HEADER-2X3";"2X03_ROUND_70MIL";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"IOH";"20611";"HEADER-1X10OVALWAVE";"1X10_OVALWAVE";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"IOL";"20610";"HEADER-1X8OVALWAVE";"1X08_OVALWAVE";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"JP1";"";"HEADER-1X1ROUND";"1X01_ROUND";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"L";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"10uH";"INDUCTOR";"INDUCTOR_1007";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";
"LED1";"WS2812B3535";"WS2812B3535";"LED3535";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ON";"GREEN";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";"";"";"";"";
"PC1";"47uF/25V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"PC2";"47uF+/6.3V+";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"POWER";"20610";"HEADER-1X8OVALWAVE";"1X08_OVALWAVE";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"100K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"1K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";
"R7";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";
"R11";"330R";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";
"RESET";"EVQQ 6mm";"SWITCH_TACT_SMT";"EVQ-Q2";"SMT Tact Switches";"";"";"";"";"";"";"";"";"";"";"";"";
"RXLED";"YELLOW";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";"";"";"";"";
"SJ1";"AREF_3V";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";
"SW1";"";"SWITCH_SPDT";"SPDT_SMT_SSSS811101";"Switch - SPDT";"";"";"";"";"";"";"";"";"";"";"";"";
"T2";"DMP3098L-7";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"TR1";"DMP3098L-7";"0297_PMV48XP";"SOT-23";"20 V, 3.5 A P-channel Trench MOSFET - PMV48XP";"";"SOT23";"";"_____";"";"";"";"PMV48XP";"_____";"_____";"Transistor";"PMV48XP";
"TXLED";"YELLOW";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"ATSAMD51J";"ATSAMD51J";"PQFN64-1";"ATSAMD51J cortex m4 microcontroller";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"NCP1117ST50T3G";"LM1117SOT223-REFLOW";"SOT223-R";"LM1117 Voltage Regulator";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"AP2112K-3.3";"LP2985-XXDBVR33";"SOT23-DBV";"ULTRALOW-POWER 50-mA LOW-DROPOUT LINEAR REGULATORS";"";"";"";"";"";"";"";"";"";"";"";"";
"U3";"SPI Flash";"SPIFLASH_SOIC8208MIL";"SOIC8_208MIL";"SOIC8 SPI Flash";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"2x5 0.05" SWD";"JTAG-CORTEXBOXPOSTS";"2X05_1.27MM_BOX_POSTS";"Serial Wire (SW-DP) Connector";"";"";"";"";"";"";"";"";"";"";"";"";
"X3";"20329";"USB_W_SHIELD_V2";"4UCONN_20329_V2";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X4";"32.768";"XTAL-3.2X1.5";"XTAL3215";"Low cost SMT crystals, no capacitors included";"";"";"";"";"";"";"";"";"";"";"";"";
"X5";"2.1mm";"DCBARRELPTH";"DCJACK_2MM_PTH";"DC Barrel Jack";"";"";"";"";"";"";"";"";"";"";"";"";
